"","org","lum","agg","int","atm","col","com","dep","catr","infra","voie","v1","v2","circ","nbv","pr","pr1","vosp","prof","plan","situ","ttue","tbg","tbl","tindm","typenumero","numero","distancemetre","libellevoie","coderivoli","grav","gps","lat","long","adr","numac","fulladress"
"1727","5","1","7","1","1","2","ANTIBES","060","4","0","00000","0","","2","02","","","0","2","1","1","0","0","1","1","1","40","0","WILSON BD","","0.43","","43.5772519","7.1180429","","1727","40 WILSON BD, ANTIBES, Alpes-Maritimes, France"
"1728","5","1","7","2","1","3","ANTIBES","060","4","0","00000","0","","1","01","0001","0000","0","1","1","1","0","0","1","2","","","","","","0.43","","43.580418","7.125102","","1728","ANTIBES, Alpes-Maritimes, France"
"1729","5","1","7","1","1","3","ANTIBES","060","3","0","00000","0","","2","02","0001","0000","0","1","1","1","0","0","1","1","","","","","","0.43","","43.580418","7.125102","","1729","ANTIBES, Alpes-Maritimes, France"
"1730","5","1","6","1","1","3","CAGNES-SUR-MER","060","4","0","00000","0","","2","03","","","0","1","1","1","0","0","1","1","1","2","0","LECLERCAVENUE GENERAL","","0.43","","43.6571182","7.1649376","","1730","2 LECLERCAVENUE GENERAL, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1731","5","1","6","1","1","3","CAGNES-SUR-MER","060","4","0","00000","0","","2","02","","","0","2","0","1","0","0","1","1","1","72","0","TUILIERES AVENUE DES","","0.43","","43.6706631","7.1635901","","1731","72 TUILIERES AVENUE DES, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1732","5","1","6","1","1","2","SAINT-LAURENT-DU-VAR","060","4","0","00000","0","","1","04","","","0","1","1","1","0","0","1","1","2","124","0","BORD DE MER RN 98","","0.43","","43.660807","7.1924803","","1732","124 BORD DE MER RN 98, SAINT-LAURENT-DU-VAR, Alpes-Maritimes, France"
"1733","5","1","6","1","1","6","CAGNES-SUR-MER","060","4","0","00000","0","","0","01","","","0","0","0","0","0","0","1","1","1","22","0","DONAT AVENUE DOCTEUR MAURICE","","0.43","","43.6610286","7.1453035","","1733","22 DONAT AVENUE DOCTEUR MAURICE, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1734","5","5","6","1","1","2","SAINT-LAURENT-DU-VAR","060","4","0","00000","0","","2","02","","","0","1","1","1","0","0","1","2","2","0","0","MAICON PROMENADE","","0.43","","43.6639464","7.197291","","1734","MAICON PROMENADE, SAINT-LAURENT-DU-VAR, Alpes-Maritimes, France"
"1735","5","1","6","9","1","3","CAGNES-SUR-MER","060","4","0","00000","0","","2","02","","","0","2","1","1","0","0","1","1","1","36","0","TUILIERES AVENUE DES","","0.43","","43.6667301","7.1589218","","1735","36 TUILIERES AVENUE DES, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1736","5","1","6","1","1","4","CAGNES-SUR-MER","060","4","0","00000","0","","3","02","","","0","1","1","1","0","0","1","2","2","0","0","CANNES AVENUE DE (RN7)","","0.43","","43.663739","7.14882","","1736","CANNES AVENUE DE RN7, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1737","5","1","6","1","1","3","CAGNES-SUR-MER","060","4","0","00000","0","","2","03","","","0","1","1","1","0","0","1","1","2","0","0","JUIN BOULEVARD MARECHAL","","0.43","","43.6590069","7.1509106","","1737","JUIN BOULEVARD MARECHAL, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1738","5","5","6","1","1","6","CAGNES-SUR-MER","060","4","0","00000","0","","2","02","","","0","1","1","1","0","0","1","0","1","9","0","DONAT AVENUE DOCTEUR MAURICE","","0.43","","43.6605145","7.1471916","","1738","9 DONAT AVENUE DOCTEUR MAURICE, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1739","5","1","6","1","2","6","SAINT-LAURENT-DU-VAR","060","4","0","00000","0","","2","02","","","0","1","1","1","0","0","1","1","1","250","0","LECLERC GENERAL AVENUE","","0.43","","43.6738697","7.1899844","","1739","250 LECLERC GENERAL AVENUE, SAINT-LAURENT-DU-VAR, Alpes-Maritimes, France"
"1740","5","1","6","1","1","6","CAGNES-SUR-MER","060","4","0","00000","0","","2","00","","","0","2","1","0","0","0","1","1","2","0","0","MARTIN RUE DU CHEVALIER","","0.43","","43.6641132","7.1494218","","1740","MARTIN RUE DU CHEVALIER, CAGNES-SUR-MER, Alpes-Maritimes, France"
"1741","5","1","6","1","1","6","SAINT-LAURENT-DU-VAR","060","4","0","00000","0","","2","02","","","0","1","3","1","0","0","1","1","1","242","0","OSSOLA JEAN BOULEVARD","","0.43","","43.6626937","7.191683","","1741","242 OSSOLA JEAN BOULEVARD, SAINT-LAURENT-DU-VAR, Alpes-Maritimes, France"
"1742","5","2","7","1","1","2","CANNES","060","4","0","00000","0","","1","01","","","0","2","1","1","0","0","1","1","1","25","0","GRASSE (AVENUE DE)","","0.43","","43.5545454","7.0150056","","1742","25 GRASSE AVENUE DE, CANNES, Alpes-Maritimes, France"
